edad,genero,zona,tipo_empleo,antiguedad,ingresos,score_crediticio,pagos_previos,creditos_previos,monto_credito,plazo_meses,destino_credito,tipo_garantia,valor_garantia,precio_soya,precio_vino,uso_productos,default_12m
52,M,Urbana,Dependiente,20,4866.53,526.0,1,3,76781,6,Agricola,Vehiculo,69271.65,427.09,45.39,1,0
52,M,Rural,Agricola,7,4097.39,737.0,5,2,78895,36,Agricola,Vehiculo,58665.06,417.25,48.69,4,0
50,F,Urbana,Independiente,12,4476.8,638.0,1,5,98184,12,Agricola,Vehiculo,143570.46,363.03,39.73,3,0
22,M,Urbana,Agricola,14,7076.22,439.0,5,4,136599,12,Comercial,Ninguna,195161.48,469.89,59.4,4,1
59,M,Urbana,Dependiente,19,5977.88,546.0,3,4,111971,24,Comercial,Vehiculo,161618.76,424.4,53.6,1,0
56,M,Urbana,Comerciante,19,2626.75,731.0,2,9,7693,6,Agricola,Ninguna,4347.81,420.03,43.79,2,0
58,M,Urbana,Dependiente,12,4623.07,649.0,3,6,38671,60,Comercial,Vehiculo,45410.72,452.75,41.29,2,0
45,M,Urbana,Dependiente,22,3667.42,578.0,0,6,33823,60,Comercial,Inmueble,48517.69,444.72,41.76,3,0
24,M,Urbana,Independiente,26,4976.71,685.0,1,8,79950,24,Agricola,Inmueble,78754.29,412.55,51.52,0,0
26,F,Urbana,Dependiente,4,4398.67,604.0,3,7,107786,36,Comercial,Ninguna,60035.98,371.19,41.94,1,1
25,F,Rural,Independiente,21,9248.32,622.0,1,2,81586,60,Consumo,Inmueble,104542.26,434.11,46.5,0,0
29,M,Rural,Agricola,21,5186.82,656.0,5,1,19378,36,Comercial,Vehiculo,26274.67,395.93,37.86,3,0
51,F,Rural,Agricola,27,4285.31,832.0,1,0,18218,12,Comercial,Ninguna,20839.25,450.98,51.25,4,0
50,F,Rural,Comerciante,5,7448.81,831.0,0,9,146598,48,Agricola,Inmueble,95620.52,400.6,51.47,4,0
65,M,Urbana,Independiente,29,4828.88,503.0,1,5,81278,24,Consumo,Vehiculo,42982.46,408.7,46.89,3,0
40,M,Rural,Independiente,25,2070.04,674.0,5,3,119997,36,Consumo,Ninguna,125891.7,386.42,49.16,2,0
41,M,Urbana,Dependiente,4,4300.88,549.0,5,2,110097,12,Comercial,Ninguna,96814.97,388.44,52.77,1,1
54,F,Urbana,Independiente,12,5481.93,584.0,3,1,100805,12,Agricola,Vehiculo,111141.47,417.27,49.0,3,0
52,M,Urbana,Dependiente,28,5275.25,513.0,2,1,81831,24,Comercial,Ninguna,35517.89,414.94,52.69,3,1
61,F,Urbana,Dependiente,4,6108.28,602.0,4,3,82089,60,Comercial,Inmueble,38015.11,408.1,40.99,1,0
57,M,Rural,Dependiente,24,4745.95,573.0,3,0,45281,12,Agricola,Vehiculo,33302.7,471.33,50.27,2,1
39,F,Rural,Independiente,12,4632.98,772.0,0,5,87608,6,Comercial,Vehiculo,53485.77,435.09,49.16,2,0
44,M,Urbana,Independiente,23,2256.04,604.0,4,9,146777,60,Agricola,Ninguna,153118.7,420.26,55.21,1,0
52,M,Rural,Comerciante,19,6945.48,505.0,1,4,148475,48,Agricola,Inmueble,110027.2,351.07,48.18,0,1
18,F,Urbana,Dependiente,22,4011.03,680.0,3,9,18416,24,Consumo,Vehiculo,20640.01,440.64,47.42,4,0
52,F,Urbana,Comerciante,7,2932.74,664.0,4,8,42784,24,Comercial,Vehiculo,52305.93,494.86,44.66,1,0
54,F,Urbana,Agricola,27,8704.65,656.0,3,1,113251,24,Agricola,Inmueble,59411.6,415.3,56.95,2,1
64,F,Urbana,Independiente,8,7188.14,735.0,1,8,64376,12,Comercial,Ninguna,90370.3,399.74,33.86,0,0
31,F,Rural,Independiente,20,3783.6,791.0,5,8,12853,12,Consumo,Vehiculo,15996.74,424.08,51.07,3,0
20,F,Rural,Dependiente,18,1490.93,655.0,3,9,29369,24,Agricola,Vehiculo,30900.21,384.21,47.88,3,1
18,M,Rural,Agricola,28,3350.45,704.0,0,8,1747,24,Comercial,Vehiculo,2429.58,431.55,46.9,3,0
22,F,Urbana,Independiente,19,7026.62,657.0,4,9,115375,6,Consumo,Ninguna,71422.03,457.51,46.02,4,0
43,M,Rural,Comerciante,14,4782.74,726.0,4,9,83887,36,Comercial,Ninguna,67617.61,403.23,47.66,2,1
31,M,Urbana,Independiente,25,2340.9,548.0,4,3,128227,60,Agricola,Vehiculo,51668.35,404.03,50.87,0,0
56,F,Rural,Agricola,21,5754.37,736.0,3,4,85718,60,Agricola,Inmueble,72638.99,418.01,43.23,2,0
44,M,Urbana,Agricola,9,4164.23,705.0,1,7,51956,6,Consumo,Vehiculo,47159.47,407.47,48.81,4,1
26,F,Urbana,Dependiente,10,3462.08,594.0,3,7,68559,24,Consumo,Ninguna,71252.02,382.19,50.1,4,0
32,F,Urbana,Dependiente,4,3583.46,850.0,3,0,75128,12,Consumo,Inmueble,28311.77,410.37,42.28,1,1
32,M,Urbana,Independiente,8,6590.23,558.0,5,9,64769,12,Consumo,Vehiculo,21954.05,405.32,51.02,2,1
43,M,Urbana,Independiente,28,5374.62,710.0,4,0,32109,24,Comercial,Vehiculo,25811.4,454.16,50.15,3,0
59,F,Urbana,Dependiente,10,2122.31,594.0,1,9,87352,36,Consumo,Vehiculo,46031.01,448.88,43.21,1,0
30,F,Urbana,Comerciante,26,5087.5,732.0,2,5,27499,48,Comercial,Vehiculo,33288.8,454.93,40.87,2,0
68,M,Urbana,Independiente,29,4672.18,850.0,1,6,98798,48,Consumo,Vehiculo,108923.17,440.04,43.13,1,0
49,M,Urbana,Comerciante,18,3827.35,750.0,3,1,102628,6,Agricola,Ninguna,70915.16,425.14,48.81,1,0
56,M,Urbana,Agricola,1,3911.71,670.0,0,1,122851,60,Consumo,Inmueble,43604.72,398.14,47.54,0,1
66,M,Urbana,Independiente,5,3115.92,764.0,1,4,59741,36,Agricola,Ninguna,31001.54,453.15,56.36,1,0
69,F,Urbana,Comerciante,28,3439.96,627.0,4,8,24345,48,Agricola,Ninguna,27510.22,428.69,45.8,4,0
49,F,Urbana,Independiente,22,4963.56,724.0,0,4,142183,36,Comercial,Ninguna,211596.44,388.8,42.67,3,0
21,F,Rural,Comerciante,20,4055.89,688.0,2,7,148461,12,Comercial,Inmueble,102698.27,397.15,51.94,0,0
47,F,Rural,Dependiente,0,5373.09,571.0,2,7,104837,12,Agricola,Vehiculo,132345.76,388.41,42.12,1,1
54,M,Urbana,Dependiente,2,3244.03,834.0,0,4,141785,36,Consumo,Inmueble,190065.03,368.7,43.25,0,0
40,M,Rural,Independiente,2,5631.99,792.0,2,7,141085,24,Comercial,Vehiculo,50482.62,429.71,43.33,3,0
56,F,Rural,Independiente,27,6603.11,603.0,0,7,120021,48,Consumo,Ninguna,167965.3,389.05,30.02,3,0
62,F,Rural,Independiente,13,4489.15,772.0,3,4,122321,48,Consumo,Vehiculo,105127.96,401.1,51.4,0,0
32,F,Urbana,Independiente,19,5333.0,574.0,0,4,4093,12,Comercial,Vehiculo,5963.87,420.97,53.64,2,0
60,F,Urbana,Dependiente,29,5395.43,722.0,3,3,99057,60,Comercial,Vehiculo,93734.37,415.3,53.5,3,0
46,F,Urbana,Comerciante,25,3696.64,684.0,4,0,101854,6,Agricola,Ninguna,59296.57,402.16,59.31,4,0
53,F,Urbana,Independiente,21,5401.38,831.0,4,8,60530,48,Comercial,Inmueble,88955.01,457.97,57.04,4,0
30,F,Urbana,Independiente,4,870.5,710.0,2,1,34993,12,Comercial,Inmueble,20714.66,381.83,46.0,1,0
49,F,Urbana,Agricola,16,500.0,541.0,5,0,28132,12,Comercial,Vehiculo,38230.65,382.92,54.66,2,0
24,F,Rural,Agricola,14,3972.83,772.0,5,5,57552,36,Comercial,Inmueble,29222.27,431.45,47.41,2,1
68,M,Rural,Comerciante,5,5513.55,640.0,0,4,71092,36,Agricola,Vehiculo,78892.29,404.35,45.44,1,0
39,F,Urbana,Independiente,13,4363.91,636.0,3,0,134789,60,Comercial,Ninguna,106961.8,403.37,43.47,3,0
45,M,Urbana,Dependiente,13,5693.4,683.0,4,6,102696,36,Agricola,Vehiculo,150595.65,393.02,46.39,0,0
19,M,Urbana,Independiente,24,2577.22,628.0,4,6,39890,6,Consumo,Ninguna,20811.7,428.46,49.97,2,1
59,F,Rural,Independiente,26,5912.54,842.0,4,2,40407,48,Agricola,Ninguna,31943.9,425.64,57.49,2,0
62,F,Urbana,Comerciante,16,7106.1,752.0,2,7,24402,6,Comercial,Ninguna,26054.79,422.98,52.37,3,0
23,M,Urbana,Dependiente,7,3385.74,577.0,4,5,112749,6,Agricola,Inmueble,166095.57,405.43,43.37,0,0
45,M,Urbana,Comerciante,7,5733.6,615.0,5,3,71286,36,Consumo,Vehiculo,47379.22,401.22,41.74,4,1
45,F,Urbana,Independiente,18,4536.51,562.0,1,9,14820,60,Comercial,Inmueble,11503.95,415.92,51.41,2,1
61,M,Urbana,Comerciante,28,5206.94,767.0,2,9,101958,12,Agricola,Ninguna,87087.46,444.16,53.41,3,0
61,F,Urbana,Dependiente,8,7102.9,674.0,0,9,36837,24,Comercial,Ninguna,22221.57,459.2,55.36,2,0
37,F,Rural,Comerciante,10,5023.69,592.0,1,2,145785,12,Consumo,Inmueble,186725.17,447.78,46.39,4,0
47,F,Rural,Comerciante,12,5723.11,821.0,2,0,41431,12,Consumo,Vehiculo,17003.06,432.64,50.82,1,0
28,M,Rural,Comerciante,12,2479.13,725.0,2,1,32207,12,Agricola,Inmueble,36901.1,444.55,53.13,3,0
45,M,Rural,Dependiente,26,5673.83,697.0,3,1,7142,12,Consumo,Ninguna,6718.58,390.45,39.89,0,0
42,F,Urbana,Dependiente,23,7076.01,692.0,1,4,4755,6,Agricola,Inmueble,2806.94,402.16,49.67,1,0
56,M,Urbana,Agricola,18,3022.4,558.0,1,3,67366,36,Agricola,Vehiculo,60049.82,433.11,53.43,0,1
50,M,Rural,Dependiente,25,3983.16,730.0,5,1,112929,36,Comercial,Ninguna,146349.09,417.05,51.06,4,0
18,M,Rural,Dependiente,20,5597.8,642.0,1,8,80229,12,Agricola,Vehiculo,66953.5,428.44,47.52,0,0
44,M,Urbana,Dependiente,18,5216.45,758.0,4,6,7121,24,Consumo,Inmueble,3177.94,444.49,63.66,2,0
69,M,Urbana,Independiente,4,2324.44,738.0,5,7,49294,48,Consumo,Ninguna,17201.75,440.6,59.58,4,0
30,M,Urbana,Independiente,15,4763.86,675.0,4,7,88994,12,Agricola,Inmueble,109761.24,392.73,48.06,1,0
58,M,Urbana,Dependiente,8,3967.71,668.0,5,1,65902,12,Agricola,Vehiculo,45902.05,420.3,46.86,2,0
20,F,Urbana,Dependiente,27,2950.15,829.0,0,4,44704,24,Comercial,Vehiculo,63367.64,396.98,52.2,2,0
56,M,Urbana,Independiente,19,6670.76,560.0,5,2,35612,6,Comercial,Ninguna,37057.01,400.57,47.65,4,0
23,M,Urbana,Independiente,21,4508.74,628.0,0,9,116149,12,Consumo,Vehiculo,95653.43,377.23,55.63,0,0
25,M,Urbana,Dependiente,2,6072.88,782.0,5,8,97081,24,Consumo,Ninguna,94882.88,423.34,40.4,0,0
44,M,Rural,Dependiente,18,2622.54,814.0,0,8,118679,6,Comercial,Vehiculo,100706.15,375.38,46.56,1,1
26,M,Urbana,Comerciante,4,5442.31,668.0,4,5,59922,6,Comercial,Inmueble,83110.21,429.85,52.11,4,0
54,M,Urbana,Comerciante,7,6198.7,617.0,5,3,66736,60,Consumo,Vehiculo,56700.66,453.96,54.02,1,0
50,M,Urbana,Comerciante,13,4112.56,619.0,3,7,83435,60,Agricola,Vehiculo,35449.65,433.26,39.11,3,0
68,M,Rural,Comerciante,23,3704.51,551.0,5,4,30546,60,Consumo,Ninguna,31050.18,421.3,42.28,4,1
59,F,Urbana,Dependiente,2,2413.17,850.0,0,2,89410,12,Agricola,Inmueble,93663.88,458.36,37.94,3,0
61,M,Rural,Agricola,23,3111.12,667.0,2,7,4696,6,Comercial,Ninguna,5721.59,428.19,42.76,1,0
41,M,Urbana,Independiente,12,3775.79,722.0,4,5,53445,12,Agricola,Ninguna,75888.75,398.43,40.34,3,0
32,M,Rural,Independiente,10,2938.54,723.0,3,4,89921,12,Comercial,Vehiculo,74787.12,423.13,51.23,3,0
49,M,Rural,Dependiente,28,3271.29,814.0,2,0,123251,36,Comercial,Inmueble,89047.85,468.99,49.37,2,0
49,F,Urbana,Independiente,7,4752.96,642.0,2,2,68552,48,Comercial,Inmueble,60937.6,392.68,47.08,2,1
41,F,Urbana,Independiente,18,4944.46,649.0,4,6,63417,48,Consumo,Inmueble,87530.6,385.5,48.16,1,0
58,F,Urbana,Dependiente,9,6245.35,755.0,5,2,42126,36,Comercial,Inmueble,62177.09,435.37,55.17,1,0
69,F,Urbana,Agricola,28,3281.16,518.0,1,0,34743,12,Comercial,Vehiculo,50915.24,414.4,41.75,0,0
66,F,Urbana,Dependiente,25,4537.1,814.0,3,7,87467,24,Consumo,Ninguna,50349.03,406.7,36.42,3,0
66,F,Urbana,Dependiente,17,3831.69,836.0,5,6,41073,6,Consumo,Vehiculo,36812.68,388.52,52.26,0,0
69,F,Urbana,Dependiente,25,3718.62,702.0,4,4,18243,36,Agricola,Ninguna,11153.2,371.25,45.65,0,0
